Main group,Type,Water,water variability,Nutrients,Gradients,Organic,Structural,Pressure,Temperature,temp variability,Salinity,salinity variability,pH,Cobo-Simon habitat,WvS,CSadj
Terrestrial,soil,NA,NA,NA,high,NA,high,low,NA,medium,NA,NA,NA,soil,NA,soil
Terrestrial,soil_mineral,NA,NA,NA,high,low,high,low,NA,high,NA,small,NA,soil,NA,soil
Terrestrial,soil_arid,low,occasionally wet,low,high,low,high,low,NA,high,low,small,NA,soil,NA,soil
Terrestrial,soil_grassland,medium,occasionally dry,medium,high,medium,high,low,NA,medium,low,small,medium,soil,NA,soil
Terrestrial,soil_forest,medium,occasionally dry,medium,high,medium,high,low,NA,medium,low,small,NA,soil,NA,soil
Terrestrial,soil_agricultural,medium,occasionally dry,medium,high,medium,high,low,NA,high,low,small,NA,soil,NA,soil
Terrestrial,soil_marshland,high,occasionally dry,NA,high,high,hlgh,low,NA,high,NA,NA,NA,soil,NA,soil
Terrestrial,soil_saline,NA,NA,NA,high,NA,high,low,NA,high,high,small,high,soil,NA,soil
Terrestrial,soil_organic,NA,NA,high,high,high,high,low,medium,medium,NA,small,NA,soil,NA,soil
Terrestrial,soil_organic_peat,medium,occasionally dry,high,high,high,high,low,medium,medium,low,small,low,soil,NA,soil
Terrestrial,soil_organic_tundra,medium,occasionally dry,low,high,high,high,low,low,low,low,small,low,soil,NA,soil
Terrestrial,soil_organic_permafrost,low,permanently wet,low,NA,high,high,low,low,low,low,small,low,soil,NA,soil
Terrestrial,soil_contaminated,NA,NA,NA,high,NA,high,low,NA,medium,NA,small,NA,NA,NA,soil
Terrestrial,soil_hydrocarbon_contaminated,NA,NA,NA,high,high,high,NA,NA,medium,NA,small,NA,NA,NA,soil
Terrestrial,litter,NA,occasionally wet,medium,high,high,h,low,medium,medium,low,small,NA,soil,NA,NA
Terrestrial,rock,NA,NA,NA,NA,low,high,NA,NA,NA,NA,small,NA,rock,NA,NA
Terrestrial,rock_endolithic,low,dry,low,high,low,high,low,NA,medium,NA,small,NA,rock,NA,NA
Terrestrial,rock_surface,NA,occasionally wet,low,high,low,high,low,NA,high,NA,small,NA,rock,NA,NA
Terrestrial,rock_deep,low,NA,low,low,low,high,high,high,low,NA,small,NA,rock,NA,NA
Terrestrial,volcanic_active,low,occasionally wet,high,high,low,high,low,high,high,NA,small,NA,therm,NA,thermal
Aquatic,water,high,permanently wet,NA,low,NA,low,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aquatic,water_saline,high,permanently wet,NA,NA,NA,low,NA,NA,NA,high,small,high,NA,NA,NA
Aquatic,water_marine,high,permanently wet,NA,low,NA,low,NA,NA,NA,high,small,high,marine,marine_water,marine_water
Aquatic,water_marine_deep,high,permanently wet,medium,low,low,low,high,low,low,high,small,high,marine,marine_water,marine_water
Aquatic,water_marine_hydrothermal,high,permanently wet,high,low,low,low,high,high,high,high,wide,high,therm,marine_water,marine_water
Aquatic,water_marine_cold,high,permanently wet,NA,low,NA,low,NA,low,low,high,small,high,marine,marine_water,marine_water
Aquatic,water_fresh,high,permanently wet,NA,low,NA,low,low,NA,medium,low,small,medium,fresh,fresh_water,fresh_water
Aquatic,water_fresh_deep,high,permanently wet,low,low,low,low,high,low,low,low,small,medium,fresh,fresh_water,fresh_water
Aquatic,water_fresh_alkaline,high,permanently wet,NA,low,medium,low,low,NA,NA,low,small,high,fresh,fresh_water,fresh_water
Aquatic,water_fresh_cold,high,permanently wet,NA,low,NA,low,low,low,NA,low,small,medium,fresh,fresh_water,fresh_water
Aquatic,water_brackish,high,permanently wet,medium,low,NA,low,low,NA,medium,medium,wide,medium,NA,NA,NA
Aquatic,water_hotspring,high,permanently wet,NA,low,low,low,low,high,high,NA,small,NA,therm,NA,thermal
Aquatic,water_hypersaline,low,permanently wet,NA,low,low,low,NA,NA,medium,high,small,NA,NA,NA,NA
Aquatic,water_groundwater,high,permanently wet,NA,low,low,medium,NA,NA,low,low,small,medium,fresh,NA,NA
Aquatic,water_groundwater_surface,high,permanently wet,NA,low,low,medium,NA,NA,low,low,small,medium,fresh,NA,fresh_water
Aquatic,water_groundwater_deepsubsurface,high,permanently wet,NA,low,low,medium,high,high,low,low,small,NA,fresh,NA,NA
Aquatic,sediment,high,permanently wet,NA,NA,NA,medium,NA,NA,NA,NA,small,NA,NA,NA,NA
Aquatic,sediment_wetland,high,permanently wet,NA,high,high,medium,low,medium,low,low,small,low,fresh,NA,fresh_sediment
Aquatic,sediment_marine,high,permanently wet,NA,NA,NA,medium,NA,NA,low,high,small,high,marine,marine_sediment,marine_sediment
Aquatic,sediment_marine_hot,high,permanently wet,NA,NA,NA,medium,NA,high,medium,high,small,high,therm,marine_sediment,marine_sediment
Aquatic,sediment_marine_cold,high,permanently wet,NA,NA,NA,medium,NA,low,low,high,small,high,marine,marine_sediment,marine_sediment
