"trait"	"total_obs"	"species"	"species_coverage"	"unique"
"1"	"gram_stain"	43680	10171	68.9325652321247	2
"2"	"metabolism"	27129	8436	57.1738393764825	6
"3"	"sporulation"	19099	5918	40.1084378176889	2
"4"	"motility"	22515	6533	44.2765164351067	5
"5"	"range_tmp"	8223	2674	18.1226702812606	7
"6"	"range_salinity"	955	562	3.80887834632328	7
"7"	"cell_shape"	28069	6825	46.2555066079295	14
"8"	"isolation_source"	50646	9520	64.5205015249068	71
"9"	"d1_lo"	4948	5717	38.7461877329719	195
"10"	"d1_up"	1788	3096	20.9827177228058	105
"11"	"d2_lo"	4973	5287	35.8319213825822	312
"12"	"d2_up"	2050	3139	21.2741443578448	166
"13"	"doubling_h"	1128	917	6.21484242629617	579
"14"	"doubling_h_norm"	1059	913	6.18773297187394	851
"15"	"genome_size"	109300	9116	61.7824466282616	9111
"16"	"gc_content"	28412	4808	32.5855642155202	2880
"17"	"coding_genes"	17531	2791	18.9156218231108	2642
"18"	"optimum_tmp"	27181	12331	83.5716706201288	685
"19"	"optimum_ph"	4572	3927	26.6147068790241	150
"20"	"growth_tmp"	940	818	5.54388342934598	307
"21"	"rRNA16S_genes"	7246	2430	16.4689935615046	134
"22"	"tRNA_genes"	12865	2742	18.5835310064385	462
